From,To,Length(m),Azimuth(deg),Clino(deg)
110@upskirt.clearwater_master,111@upskirt.clearwater_master,13.02,37.02,-0.31
111@upskirt.clearwater_master,112@upskirt.clearwater_master,19.15,0.95,-5.89
112@upskirt.clearwater_master,113@upskirt.clearwater_master,19.95,7.44,11.32
113@upskirt.clearwater_master,114@upskirt.clearwater_master,16.04,31.72,-8.72
114@upskirt.clearwater_master,115@upskirt.clearwater_master,18.92,2.89,-4.11
115@upskirt.clearwater_master,116@upskirt.clearwater_master,15.99,24.48,0.31
116@upskirt.clearwater_master,117@upskirt.clearwater_master,5.98,50.85,8.77
117@upskirt.clearwater_master,118@upskirt.clearwater_master,30.03,11.08,-16.66
118@upskirt.clearwater_master,119@upskirt.clearwater_master,18.66,36.59,2.64
119@upskirt.clearwater_master,120@upskirt.clearwater_master,28.33,346.81,-31.49
120@upskirt.clearwater_master,121@upskirt.clearwater_master,32.51,57.46,29.89
121@upskirt.clearwater_master,122@upskirt.clearwater_master,6.22,7.85,7.72
122@upskirt.clearwater_master,123@upskirt.clearwater_master,16.54,48.94,32.49
123@upskirt.clearwater_master,124@upskirt.clearwater_master,6.45,34.98,-2.22
124@upskirt.clearwater_master,125@upskirt.clearwater_master,9.00,15.75,-8.52
125@upskirt.clearwater_master,126@upskirt.clearwater_master,11.46,2.91,-18.94
126@upskirt.clearwater_master,127@upskirt.clearwater_master,7.28,0.27,-4.40
127@upskirt.clearwater_master,128@upskirt.clearwater_master,37.02,22.93,-1.69
128@upskirt.clearwater_master,129@upskirt.clearwater_master,13.63,343.74,-29.04
129@upskirt.clearwater_master,130@upskirt.clearwater_master,13.02,27.56,-9.50
130@upskirt.clearwater_master,131@upskirt.clearwater_master,16.15,64.60,30.63
131@upskirt.clearwater_master,132@upskirt.clearwater_master,5.01,353.88,-0.47
132@upskirt.clearwater_master,133@upskirt.clearwater_master,24.60,28.00,2.12
133@upskirt.clearwater_master,134@upskirt.clearwater_master,17.38,344.01,-22.11
134@upskirt.clearwater_master,135@upskirt.clearwater_master,19.55,31.46,-0.93
135@upskirt.clearwater_master,136@upskirt.clearwater_master,12.40,30.77,12.85
136@upskirt.clearwater_master,137@upskirt.clearwater_master,31.79,20.23,-3.71
137@upskirt.clearwater_master,138@upskirt.clearwater_master,4.56,34.29,10.61
138@upskirt.clearwater_master,139@upskirt.clearwater_master,20.08,342.17,-30.62
139@upskirt.clearwater_master,140@upskirt.clearwater_master,10.04,309.40,-20.40
140@upskirt.clearwater_master,141@upskirt.clearwater_master,17.63,291.18,-4.36
141@upskirt.clearwater_master,142@upskirt.clearwater_master,10.15,243.02,-22.43
142@upskirt.clearwater_master,143@upskirt.clearwater_master,11.21,302.28,9.17
143@upskirt.clearwater_master,144@upskirt.clearwater_master,12.10,337.48,-7.80
140@upskirt.clearwater_master,145@upskirt.clearwater_master,8.81,339.68,31.64
145@upskirt.clearwater_master,146@upskirt.clearwater_master,10.34,357.49,-22.28
146@upskirt.clearwater_master,147@upskirt.clearwater_master,15.95,2.89,-6.46
147@upskirt.clearwater_master,148@upskirt.clearwater_master,9.65,347.95,-12.82
148@upskirt.clearwater_master,149@upskirt.clearwater_master,11.64,353.50,-39.35
149@upskirt.clearwater_master,150@upskirt.clearwater_master,10.82,23.88,3.02
150@upskirt.clearwater_master,151@upskirt.clearwater_master,15.35,31.86,11.19
147@upskirt.clearwater_master,152@upskirt.clearwater_master,8.92,161.00,5.54
152@upskirt.clearwater_master,153@upskirt.clearwater_master,16.13,143.22,20.41
153@upskirt.clearwater_master,154@upskirt.clearwater_master,4.13,160.68,-12.07
154@upskirt.clearwater_master,155@upskirt.clearwater_master,9.82,185.97,-0.58
155@upskirt.clearwater_master,156@upskirt.clearwater_master,21.72,106.06,39.60
156@upskirt.clearwater_master,157@upskirt.clearwater_master,9.18,15.84,0.76
157@upskirt.clearwater_master,158@upskirt.clearwater_master,11.26,8.81,20.00
158@upskirt.clearwater_master,159@upskirt.clearwater_master,14.23,35.00,11.41
159@upskirt.clearwater_master,160@upskirt.clearwater_master,6.90,357.27,43.67
156@upskirt.clearwater_master,161@upskirt.clearwater_master,14.70,224.19,-12.08
161@upskirt.clearwater_master,162@upskirt.clearwater_master,12.38,214.11,-12.76
101@upskirt.clearwater_master,-,5.54,324.04,87.99
101@upskirt.clearwater_master,-,9.00,171.46,56.76
101@upskirt.clearwater_master,-,0.72,312.80,-76.40
101@upskirt.clearwater_master,-,2.60,102.90,14.75
101@upskirt.clearwater_master,-,26.86,206.36,6.23
101@upskirt.clearwater_master,-,13.03,204.01,29.94
101@upskirt.clearwater_master,-,21.45,188.05,25.71
101@upskirt.clearwater_master,-,1.86,174.64,-12.88
101@upskirt.clearwater_master,-,5.55,303.81,2.32
101@upskirt.clearwater_master,-,8.84,263.24,-12.52
101@upskirt.clearwater_master,-,18.34,245.20,-13.29
101@upskirt.clearwater_master,-,21.10,229.77,-4.81
101@upskirt.clearwater_master,-,8.04,344.36,-7.66
107@upskirt.clearwater_master,-,4.12,109.81,68.93
107@upskirt.clearwater_master,-,2.00,87.95,-66.64
107@upskirt.clearwater_master,-,2.38,338.36,-9.89
107@upskirt.clearwater_master,-,4.09,122.06,2.95
107@upskirt.clearwater_master,-,11.97,152.41,33.15
108@upskirt.clearwater_master,-,4.56,152.96,45.47
108@upskirt.clearwater_master,-,5.40,268.13,87.17
108@upskirt.clearwater_master,-,5.09,17.45,-69.97
108@upskirt.clearwater_master,-,6.27,324.35,11.43
108@upskirt.clearwater_master,-,19.04,105.05,31.98
115@upskirt.clearwater_master,-,4.79,98.33,77.25
115@upskirt.clearwater_master,-,1.68,43.51,-62.20
115@upskirt.clearwater_master,-,0.69,293.09,16.94
115@upskirt.clearwater_master,-,8.60,93.31,30.39
115@upskirt.clearwater_master,-,30.66,86.72,40.02
119@upskirt.clearwater_master,-,0.86,80.11,45.86
119@upskirt.clearwater_master,-,5.28,292.54,56.71
119@upskirt.clearwater_master,-,5.95,304.19,-51.00
119@upskirt.clearwater_master,-,6.90,295.31,-5.40
120@upskirt.clearwater_master,-,3.80,328.73,86.27
120@upskirt.clearwater_master,-,11.59,241.58,51.83
120@upskirt.clearwater_master,-,16.60,271.24,46.83
120@upskirt.clearwater_master,-,11.65,67.62,55.35
120@upskirt.clearwater_master,-,5.61,76.42,62.35
120@upskirt.clearwater_master,-,9.77,197.31,60.39
120@upskirt.clearwater_master,-,5.98,322.75,-60.00
120@upskirt.clearwater_master,-,7.61,242.08,6.55
120@upskirt.clearwater_master,-,8.86,303.87,37.94
120@upskirt.clearwater_master,-,9.45,334.78,23.64
120@upskirt.clearwater_master,-,12.76,1.72,27.25
120@upskirt.clearwater_master,-,20.02,33.47,41.22
120@upskirt.clearwater_master,-,7.01,255.65,-5.81
120@upskirt.clearwater_master,-,9.28,277.01,-21.62
120@upskirt.clearwater_master,-,14.68,297.23,-29.86
120@upskirt.clearwater_master,-,20.23,318.87,-35.49
120@upskirt.clearwater_master,-,8.41,351.97,-33.46
120@upskirt.clearwater_master,-,1.48,105.98,10.01
122@upskirt.clearwater_master,-,4.60,338.98,80.68
122@upskirt.clearwater_master,-,10.34,90.27,51.47
122@upskirt.clearwater_master,-,18.65,120.61,50.23
122@upskirt.clearwater_master,-,7.51,337.22,-49.05
122@upskirt.clearwater_master,-,6.22,7.99,7.98
122@upskirt.clearwater_master,-,5.20,285.54,-11.45
122@upskirt.clearwater_master,-,21.29,318.74,-32.98
122@upskirt.clearwater_master,-,16.96,330.76,-31.85
122@upskirt.clearwater_master,-,14.77,344.26,-25.22
122@upskirt.clearwater_master,-,14.45,357.11,-12.84
122@upskirt.clearwater_master,-,17.97,359.20,-1.94
122@upskirt.clearwater_master,-,33.77,12.34,-4.22
122@upskirt.clearwater_master,-,22.91,16.92,0.60
122@upskirt.clearwater_master,-,13.17,23.67,9.32
122@upskirt.clearwater_master,-,10.24,33.80,14.12
122@upskirt.clearwater_master,-,13.88,43.52,28.20
122@upskirt.clearwater_master,-,5.19,81.80,31.02
122@upskirt.clearwater_master,-,24.28,51.22,32.92
122@upskirt.clearwater_master,-,10.72,56.27,39.20
122@upskirt.clearwater_master,-,8.99,151.27,35.49
122@upskirt.clearwater_master,-,8.27,163.78,37.29
128@upskirt.clearwater_master,-,3.86,325.88,79.54
128@upskirt.clearwater_master,-,2.09,348.68,-60.12
128@upskirt.clearwater_master,-,4.80,290.43,-13.74
128@upskirt.clearwater_master,-,16.85,305.46,-37.82
128@upskirt.clearwater_master,-,13.45,129.67,42.00
131@upskirt.clearwater_master,-,4.16,123.84,45.60
131@upskirt.clearwater_master,-,5.58,3.47,78.05
131@upskirt.clearwater_master,-,1.95,310.16,-54.26
131@upskirt.clearwater_master,-,4.39,308.60,-4.02
132@upskirt.clearwater_master,-,4.47,33.48,80.95
132@upskirt.clearwater_master,-,2.84,271.27,-10.17
132@upskirt.clearwater_master,-,4.41,321.84,-38.75
132@upskirt.clearwater_master,-,5.20,89.61,33.96
138@upskirt.clearwater_master,-,6.61,116.10,45.42
138@upskirt.clearwater_master,-,3.08,8.08,80.01
138@upskirt.clearwater_master,-,3.60,298.81,-52.95
138@upskirt.clearwater_master,-,4.71,283.67,-6.97
139@upskirt.clearwater_master,-,11.88,358.38,64.64
139@upskirt.clearwater_master,-,3.82,223.08,-6.37
139@upskirt.clearwater_master,-,7.04,253.81,-43.94
139@upskirt.clearwater_master,-,11.03,33.11,32.31
142@upskirt.clearwater_master,-,25.68,300.95,70.07
142@upskirt.clearwater_master,-,15.19,215.41,53.22
142@upskirt.clearwater_master,-,27.79,245.93,65.41
142@upskirt.clearwater_master,-,25.54,283.40,58.32
142@upskirt.clearwater_master,-,29.75,296.16,50.27
142@upskirt.clearwater_master,-,42.92,304.32,52.92
142@upskirt.clearwater_master,-,20.27,314.91,48.37
142@upskirt.clearwater_master,-,28.21,82.53,71.86
142@upskirt.clearwater_master,-,26.91,100.28,60.01
142@upskirt.clearwater_master,-,3.50,158.22,0.54
142@upskirt.clearwater_master,-,4.65,284.31,-36.27
142@upskirt.clearwater_master,-,9.67,182.61,5.81
142@upskirt.clearwater_master,-,11.57,192.73,30.15
142@upskirt.clearwater_master,-,4.59,342.49,6.16
142@upskirt.clearwater_master,-,10.93,334.46,40.22
142@upskirt.clearwater_master,-,11.52,0.38,5.76
142@upskirt.clearwater_master,-,8.17,27.10,8.88
142@upskirt.clearwater_master,-,9.92,51.07,20.69
142@upskirt.clearwater_master,-,44.54,92.39,24.54
142@upskirt.clearwater_master,-,32.82,99.45,14.92
142@upskirt.clearwater_master,-,15.88,106.41,0.60
142@upskirt.clearwater_master,-,7.42,112.18,-13.56
143@upskirt.clearwater_master,-,22.26,234.46,83.45
143@upskirt.clearwater_master,-,2.09,343.82,-53.36
143@upskirt.clearwater_master,-,5.66,226.88,33.80
143@upskirt.clearwater_master,-,45.49,337.26,10.88
143@upskirt.clearwater_master,-,6.08,63.63,27.33
145@upskirt.clearwater_master,-,2.35,69.44,52.70
145@upskirt.clearwater_master,-,17.37,220.02,73.91
145@upskirt.clearwater_master,-,3.59,283.08,-49.00
145@upskirt.clearwater_master,-,5.76,288.12,6.10
151@upskirt.clearwater_master,-,4.06,137.05,61.96
151@upskirt.clearwater_master,-,14.35,113.70,46.59
151@upskirt.clearwater_master,-,1.30,356.25,-59.72
151@upskirt.clearwater_master,-,2.92,276.16,-22.84
151@upskirt.clearwater_master,-,2.40,91.01,33.40
156@upskirt.clearwater_master,-,2.70,205.31,66.37
156@upskirt.clearwater_master,-,2.38,356.13,-60.33
156@upskirt.clearwater_master,-,2.72,2.70,-6.82
156@upskirt.clearwater_master,-,8.90,209.66,2.05
44@upskirt_lower.clearwater_master,30@upskirt_lower.clearwater_master,15.92,10.45,-43.85
44@upskirt_lower.clearwater_master,45@upskirt_lower.clearwater_master,10.16,199.71,4.62
45@upskirt_lower.clearwater_master,46@upskirt_lower.clearwater_master,20.85,95.37,-7.50
46@upskirt_lower.clearwater_master,47@upskirt_lower.clearwater_master,23.87,88.67,-11.57
47@upskirt_lower.clearwater_master,48@upskirt_lower.clearwater_master,11.63,81.36,-12.71
48@upskirt_lower.clearwater_master,49@upskirt_lower.clearwater_master,8.05,74.04,30.68
49@upskirt_lower.clearwater_master,50@upskirt_lower.clearwater_master,10.18,86.94,6.34
50@upskirt_lower.clearwater_master,51@upskirt_lower.clearwater_master,37.93,81.06,6.64
51@upskirt_lower.clearwater_master,52@upskirt_lower.clearwater_master,30.50,75.04,-20.55
52@upskirt_lower.clearwater_master,53@upskirt_lower.clearwater_master,16.51,61.21,-8.51
53@upskirt_lower.clearwater_master,54@upskirt_lower.clearwater_master,10.92,92.76,6.35
54@upskirt_lower.clearwater_master,55@upskirt_lower.clearwater_master,21.68,104.64,32.90
54@upskirt_lower.clearwater_master,56@upskirt_lower.clearwater_master,12.95,342.44,-31.86
54@upskirt_lower.clearwater_master,57@upskirt_lower.clearwater_master,25.02,51.95,15.60
57@upskirt_lower.clearwater_master,58@upskirt_lower.clearwater_master,9.36,89.19,50.40
58@upskirt_lower.clearwater_master,59@upskirt_lower.clearwater_master,6.46,49.99,25.91
59@upskirt_lower.clearwater_master,60@upskirt_lower.clearwater_master,26.47,65.19,23.46
60@upskirt_lower.clearwater_master,61@upskirt_lower.clearwater_master,21.67,28.22,12.18
61@upskirt_lower.clearwater_master,62@upskirt_lower.clearwater_master,22.69,92.17,36.15
62@upskirt_lower.clearwater_master,90@upskirt_lower.clearwater_master,9.90,212.00,-3.00
90@upskirt_lower.clearwater_master,91@upskirt_lower.clearwater_master,9.80,200.00,20.00
91@upskirt_lower.clearwater_master,92@upskirt_lower.clearwater_master,8.00,242.00,-43.00
92@upskirt_lower.clearwater_master,93@upskirt_lower.clearwater_master,10.60,264.00,-31.00
93@upskirt_lower.clearwater_master,94@upskirt_lower.clearwater_master,6.10,184.00,-5.00
94@upskirt_lower.clearwater_master,95@upskirt_lower.clearwater_master,16.20,227.00,-17.00
95@upskirt_lower.clearwater_master,96@upskirt_lower.clearwater_master,8.90,289.00,-40.00
96@upskirt_lower.clearwater_master,97@upskirt_lower.clearwater_master,14.60,257.00,-33.00
97@upskirt_lower.clearwater_master,98@upskirt_lower.clearwater_master,16.00,254.00,-39.00
98@upskirt_lower.clearwater_master,99@upskirt_lower.clearwater_master,14.20,304.00,-31.00
62@upskirt_lower.clearwater_master,63@upskirt_lower.clearwater_master,16.66,26.89,9.06
63@upskirt_lower.clearwater_master,64@upskirt_lower.clearwater_master,12.24,28.81,11.27
64@upskirt_lower.clearwater_master,65@upskirt_lower.clearwater_master,8.31,48.49,20.40
65@upskirt_lower.clearwater_master,66@upskirt_lower.clearwater_master,11.46,41.56,17.87
66@upskirt_lower.clearwater_master,67@upskirt_lower.clearwater_master,11.79,301.28,-33.48
67@upskirt_lower.clearwater_master,68@upskirt_lower.clearwater_master,7.28,331.29,-49.47
68@upskirt_lower.clearwater_master,69@upskirt_lower.clearwater_master,9.25,326.05,-39.17
69@upskirt_lower.clearwater_master,70@upskirt_lower.clearwater_master,12.58,15.41,17.70
70@upskirt_lower.clearwater_master,71@upskirt_lower.clearwater_master,20.64,76.17,27.80
70@upskirt_lower.clearwater_master,72@upskirt_lower.clearwater_master,26.67,21.19,-6.70
72@upskirt_lower.clearwater_master,73@upskirt_lower.clearwater_master,4.93,259.27,-42.02
72@upskirt_lower.clearwater_master,74@upskirt_lower.clearwater_master,8.70,51.96,32.14
74@upskirt_lower.clearwater_master,75@upskirt_lower.clearwater_master,12.67,35.23,19.62
75@upskirt_lower.clearwater_master,76@upskirt_lower.clearwater_master,9.29,14.74,-21.58
76@upskirt_lower.clearwater_master,77@upskirt_lower.clearwater_master,8.41,351.49,-3.71
77@upskirt_lower.clearwater_master,78@upskirt_lower.clearwater_master,6.92,323.80,9.30
78@upskirt_lower.clearwater_master,79@upskirt_lower.clearwater_master,8.29,68.54,-16.87
79@upskirt_lower.clearwater_master,80@upskirt_lower.clearwater_master,9.97,82.11,26.44
80@upskirt_lower.clearwater_master,81@upskirt_lower.clearwater_master,7.66,67.02,32.04
80@upskirt_lower.clearwater_master,82@upskirt_lower.clearwater_master,3.19,147.87,3.49
82@upskirt_lower.clearwater_master,83@upskirt_lower.clearwater_master,5.60,81.64,-42.26
83@upskirt_lower.clearwater_master,84@upskirt_lower.clearwater_master,8.07,78.35,17.03
84@upskirt_lower.clearwater_master,85@upskirt_lower.clearwater_master,7.41,109.85,-45.22
85@upskirt_lower.clearwater_master,86@upskirt_lower.clearwater_master,7.54,104.93,-55.65
52@upskirt_lower.clearwater_master,-,10.85,336.03,86.52
52@upskirt_lower.clearwater_master,-,1.76,110.41,-71.00
52@upskirt_lower.clearwater_master,-,1.60,359.17,-63.51
52@upskirt_lower.clearwater_master,-,3.67,342.30,-3.22
52@upskirt_lower.clearwater_master,-,4.29,127.74,11.62
61@upskirt_lower.clearwater_master,-,8.72,27.67,75.44
61@upskirt_lower.clearwater_master,-,25.69,98.48,46.80
61@upskirt_lower.clearwater_master,-,1.89,341.63,-64.53
61@upskirt_lower.clearwater_master,-,22.43,292.22,-52.23
61@upskirt_lower.clearwater_master,-,9.33,304.06,-6.60
61@upskirt_lower.clearwater_master,-,19.58,344.67,-43.34
61@upskirt_lower.clearwater_master,-,15.64,316.49,-37.71
61@upskirt_lower.clearwater_master,-,13.86,9.78,12.41
61@upskirt_lower.clearwater_master,-,21.32,47.71,38.75
61@upskirt_lower.clearwater_master,-,10.96,122.76,35.99
61@upskirt_lower.clearwater_master,-,24.50,135.65,39.31
61@upskirt_lower.clearwater_master,-,17.15,165.24,28.95
61@upskirt_lower.clearwater_master,-,33.90,131.18,43.05
62@upskirt_lower.clearwater_master,-,6.53,286.66,81.02
62@upskirt_lower.clearwater_master,-,6.61,271.65,-47.94
62@upskirt_lower.clearwater_master,-,12.26,73.12,-50.41
62@upskirt_lower.clearwater_master,-,17.76,339.61,-6.25
62@upskirt_lower.clearwater_master,-,19.00,197.87,19.32
66@upskirt_lower.clearwater_master,-,5.86,268.64,76.66
66@upskirt_lower.clearwater_master,-,17.57,31.68,66.13
66@upskirt_lower.clearwater_master,-,1.13,217.88,-47.01
66@upskirt_lower.clearwater_master,-,2.62,295.26,0.65
66@upskirt_lower.clearwater_master,-,6.64,127.17,43.83
69@upskirt_lower.clearwater_master,-,6.47,86.52,48.11
69@upskirt_lower.clearwater_master,-,3.86,316.77,75.13
69@upskirt_lower.clearwater_master,-,1.06,336.77,-59.32
69@upskirt_lower.clearwater_master,-,7.00,286.21,-20.89
69@upskirt_lower.clearwater_master,-,12.32,195.96,3.40
77@upskirt_lower.clearwater_master,-,3.63,225.10,79.15
77@upskirt_lower.clearwater_master,-,5.23,251.95,-1.32
77@upskirt_lower.clearwater_master,-,4.60,267.98,-32.36
77@upskirt_lower.clearwater_master,-,6.21,76.98,39.25
45@upskirt_lower.clearwater_master,-,30.91,287.25,86.09
45@upskirt_lower.clearwater_master,-,33.20,351.40,50.49
45@upskirt_lower.clearwater_master,-,1.62,95.15,-71.23
45@upskirt_lower.clearwater_master,-,8.51,74.81,-1.36
45@upskirt_lower.clearwater_master,-,32.74,352.50,43.86
1@quattro_formaggio.clearwater_master,2@quattro_formaggio.clearwater_master,22.10,34.00,1.00
2@quattro_formaggio.clearwater_master,3@quattro_formaggio.clearwater_master,21.60,61.00,13.00
3@quattro_formaggio.clearwater_master,4@quattro_formaggio.clearwater_master,6.80,344.00,20.00
4@quattro_formaggio.clearwater_master,5@quattro_formaggio.clearwater_master,8.00,86.00,15.00
5@quattro_formaggio.clearwater_master,6@quattro_formaggio.clearwater_master,7.40,7.00,3.00
6@quattro_formaggio.clearwater_master,7@quattro_formaggio.clearwater_master,9.70,356.00,-20.00
6@quattro_formaggio.clearwater_master,8@quattro_formaggio.clearwater_master,16.70,24.00,9.00
8@quattro_formaggio.clearwater_master,9@quattro_formaggio.clearwater_master,11.80,40.00,9.00
9@quattro_formaggio.clearwater_master,10@quattro_formaggio.clearwater_master,9.00,328.00,0.00
10@quattro_formaggio.clearwater_master,11@quattro_formaggio.clearwater_master,8.10,336.00,-15.00
11@quattro_formaggio.clearwater_master,12@quattro_formaggio.clearwater_master,12.60,17.00,-17.00
12@quattro_formaggio.clearwater_master,13@quattro_formaggio.clearwater_master,21.40,46.00,-15.00
13@quattro_formaggio.clearwater_master,14@quattro_formaggio.clearwater_master,15.10,318.00,0.00
14@quattro_formaggio.clearwater_master,15@quattro_formaggio.clearwater_master,11.30,22.00,-4.00
15@quattro_formaggio.clearwater_master,16@quattro_formaggio.clearwater_master,24.20,14.00,-32.00
16@quattro_formaggio.clearwater_master,17@quattro_formaggio.clearwater_master,14.20,357.00,1.00
17@quattro_formaggio.clearwater_master,18@quattro_formaggio.clearwater_master,18.30,306.00,-1.00
18@quattro_formaggio.clearwater_master,19@quattro_formaggio.clearwater_master,5.00,283.00,0.00
19@quattro_formaggio.clearwater_master,20@quattro_formaggio.clearwater_master,8.40,309.00,-20.00
20@quattro_formaggio.clearwater_master,21@quattro_formaggio.clearwater_master,18.10,42.00,-35.00
21@quattro_formaggio.clearwater_master,22@quattro_formaggio.clearwater_master,19.70,39.00,29.00
22@quattro_formaggio.clearwater_master,23@quattro_formaggio.clearwater_master,19.40,10.00,-9.00
23@quattro_formaggio.clearwater_master,24@quattro_formaggio.clearwater_master,15.20,84.00,-13.00
24@quattro_formaggio.clearwater_master,25@quattro_formaggio.clearwater_master,16.30,22.00,12.00
25@quattro_formaggio.clearwater_master,26@quattro_formaggio.clearwater_master,11.00,24.00,-21.00
24@quattro_formaggio.clearwater_master,27@quattro_formaggio.clearwater_master,11.80,184.00,-14.00
27@quattro_formaggio.clearwater_master,28@quattro_formaggio.clearwater_master,8.40,123.00,-17.00
28@quattro_formaggio.clearwater_master,29@quattro_formaggio.clearwater_master,11.90,59.00,-7.00
29@quattro_formaggio.clearwater_master,30@quattro_formaggio.clearwater_master,25.00,14.00,2.00
30@quattro_formaggio.clearwater_master,31@quattro_formaggio.clearwater_master,3.80,123.00,-23.00
30@quattro_formaggio.clearwater_master,32@quattro_formaggio.clearwater_master,18.80,137.00,24.00
32@quattro_formaggio.clearwater_master,33@quattro_formaggio.clearwater_master,18.30,92.00,-6.00
33@quattro_formaggio.clearwater_master,34@quattro_formaggio.clearwater_master,18.90,64.00,32.00
40@quattro_formaggio.clearwater_master,41@quattro_formaggio.clearwater_master,14.50,266.00,-40.00
41@quattro_formaggio.clearwater_master,42@quattro_formaggio.clearwater_master,4.20,330.00,-10.00
42@quattro_formaggio.clearwater_master,43@quattro_formaggio.clearwater_master,23.40,336.00,-11.00
44@quattro_formaggio.clearwater_master,43@quattro_formaggio.clearwater_master,22.70,50.00,-19.00
45@quattro_formaggio.clearwater_master,43@quattro_formaggio.clearwater_master,17.40,76.00,-2.00
45@quattro_formaggio.clearwater_master,46@quattro_formaggio.clearwater_master,23.40,322.00,-23.00
46@quattro_formaggio.clearwater_master,47@quattro_formaggio.clearwater_master,18.50,356.00,-36.00
48@quattro_formaggio.clearwater_master,47@quattro_formaggio.clearwater_master,5.70,55.00,25.00
48@quattro_formaggio.clearwater_master,49@quattro_formaggio.clearwater_master,7.90,212.00,-3.00
43@quattro_formaggio.clearwater_master,50@quattro_formaggio.clearwater_master,9.10,34.00,-27.00
50@quattro_formaggio.clearwater_master,51@quattro_formaggio.clearwater_master,4.70,111.00,-15.00
51@quattro_formaggio.clearwater_master,52@quattro_formaggio.clearwater_master,1.90,82.00,-52.00
52@quattro_formaggio.clearwater_master,53@quattro_formaggio.clearwater_master,4.20,149.00,-61.00
53@quattro_formaggio.clearwater_master,54@quattro_formaggio.clearwater_master,10.00,131.00,28.00
54@quattro_formaggio.clearwater_master,55@quattro_formaggio.clearwater_master,14.70,115.00,40.00
55@quattro_formaggio.clearwater_master,56@quattro_formaggio.clearwater_master,17.70,120.00,45.00
56@quattro_formaggio.clearwater_master,57@quattro_formaggio.clearwater_master,7.20,167.00,65.00
57@quattro_formaggio.clearwater_master,58@quattro_formaggio.clearwater_master,3.50,287.00,47.00
58@quattro_formaggio.clearwater_master,21@quattro_formaggio.clearwater_master,3.40,184.00,24.00
26@quattro_formaggio.clearwater_master,60@quattro_formaggio.clearwater_master,4.30,36.00,-28.00
60@quattro_formaggio.clearwater_master,61@quattro_formaggio.clearwater_master,18.70,0.00,-90.00
61@quattro_formaggio.clearwater_master,62@quattro_formaggio.clearwater_master,14.50,39.00,3.00
62@quattro_formaggio.clearwater_master,63@quattro_formaggio.clearwater_master,23.80,356.00,-20.00
63@quattro_formaggio.clearwater_master,64@quattro_formaggio.clearwater_master,13.70,26.00,2.00
63@quattro_formaggio.clearwater_master,65@quattro_formaggio.clearwater_master,9.20,39.00,10.00
65@quattro_formaggio.clearwater_master,66@quattro_formaggio.clearwater_master,4.50,68.00,46.00
68@quattro_formaggio.clearwater_master,67@quattro_formaggio.clearwater_master,26.20,125.00,75.00
68@quattro_formaggio.clearwater_master,69@quattro_formaggio.clearwater_master,18.10,330.00,-31.00
69@quattro_formaggio.clearwater_master,70@quattro_formaggio.clearwater_master,6.40,350.00,-26.00
70@quattro_formaggio.clearwater_master,71@quattro_formaggio.clearwater_master,11.60,4.00,-33.00
71@quattro_formaggio.clearwater_master,66@quattro_formaggio.clearwater_master,18.40,314.00,-42.00
66@quattro_formaggio.clearwater_master,72@quattro_formaggio.clearwater_master,19.80,67.00,34.00
72@quattro_formaggio.clearwater_master,73@quattro_formaggio.clearwater_master,12.60,77.00,37.00
73@quattro_formaggio.clearwater_master,74@quattro_formaggio.clearwater_master,6.20,114.00,59.00
74@quattro_formaggio.clearwater_master,75@quattro_formaggio.clearwater_master,4.80,338.00,32.00
75@quattro_formaggio.clearwater_master,76@quattro_formaggio.clearwater_master,20.20,35.00,28.00
76@quattro_formaggio.clearwater_master,77@quattro_formaggio.clearwater_master,5.80,40.00,0.00
77@quattro_formaggio.clearwater_master,78@quattro_formaggio.clearwater_master,4.10,0.00,-3.00
78@quattro_formaggio.clearwater_master,79@quattro_formaggio.clearwater_master,17.30,42.00,3.00
79@quattro_formaggio.clearwater_master,80@quattro_formaggio.clearwater_master,3.00,33.00,-21.00
80@quattro_formaggio.clearwater_master,81@quattro_formaggio.clearwater_master,15.80,147.00,38.00
81@quattro_formaggio.clearwater_master,82@quattro_formaggio.clearwater_master,12.50,130.00,30.00
82@quattro_formaggio.clearwater_master,83@quattro_formaggio.clearwater_master,20.30,206.00,17.00
83@quattro_formaggio.clearwater_master,101@quattro_formaggio.clearwater_master,14.60,5.00,43.00
101@quattro_formaggio.clearwater_master,102@quattro_formaggio.clearwater_master,13.70,310.00,48.00
102@quattro_formaggio.clearwater_master,103@quattro_formaggio.clearwater_master,30.10,191.00,12.00
103@quattro_formaggio.clearwater_master,104@quattro_formaggio.clearwater_master,8.90,166.00,39.00
104@quattro_formaggio.clearwater_master,105@quattro_formaggio.clearwater_master,20.40,230.00,-11.00
105@quattro_formaggio.clearwater_master,106@quattro_formaggio.clearwater_master,19.10,247.00,-33.00
82@quattro_formaggio.clearwater_master,84@quattro_formaggio.clearwater_master,10.70,104.00,37.00
80@quattro_formaggio.clearwater_master,85@quattro_formaggio.clearwater_master,7.30,1.00,-36.00
85@quattro_formaggio.clearwater_master,86@quattro_formaggio.clearwater_master,11.50,67.00,17.00
86@quattro_formaggio.clearwater_master,87@quattro_formaggio.clearwater_master,10.10,1.00,14.00
87@quattro_formaggio.clearwater_master,88@quattro_formaggio.clearwater_master,11.00,25.00,15.00
88@quattro_formaggio.clearwater_master,89@quattro_formaggio.clearwater_master,9.00,38.00,-2.00
89@quattro_formaggio.clearwater_master,90@quattro_formaggio.clearwater_master,4.60,96.00,-20.00
